8.355152948717949357e+01,-1.374638095238095126e+01,-1.855593840585358123e+02,-6.332859961260068005e+00,2.616443583135368272e+02,7.403190552437557415e+01,-4.251115633449433631e+02,5.697771142569846070e+00,5.386015994304200376e+02,-5.657041684063418074e+01,1.404188500304957472e+02,-5.595650335522498153e+02,-2.478560485624755927e+01,4.949545194638284329e+01,-7.026428365219999250e+02,3.628233108005317149e+02,4.817229960955064030e+02,-2.514402176254295682e+02,2.249054300424536024e+01,1.946861000711729162e+02,-1.130275904136458394e+02,-3.708566759096328269e+02
8.303163205128205959e+01,-1.469071428571428584e+01,-1.846326068216574470e+02,-6.318184376296848370e+00,2.692964413467673808e+02,7.287025239676515298e+01,-4.004723304457737640e+02,5.717890433925768789e+00,5.491868814984808296e+02,-5.511010292218200135e+01,1.346274217735287095e+02,-5.614126201512000307e+02,-2.479510025292919906e+01,4.827430772631174705e+01,-7.336863370080000095e+02,3.362651933112269376e+02,4.767206989825673418e+02,-2.678870304746544662e+02,2.245325586672790408e+01,1.977713477295345115e+02,-1.095158984703594456e+02,-3.445807617715732931e+02
8.230369102564102946e+01,-1.407909523809523833e+01,-1.832238118076906517e+02,-6.257066254389152427e+00,2.581388276134478019e+02,7.357564389973981633e+01,-3.809212305244614072e+02,5.743460732401908686e+00,5.388554535038045969e+02,-5.265546669139325076e+01,1.315162612906761979e+02,-5.229541208619998542e+02,-2.481992402660766928e+01,4.661205677515800261e+01,-7.061826196873333856e+02,3.274174336308130364e+02,4.443802060684806179e+02,-2.495079381674465253e+02,2.265259509825726170e+01,1.950745140750784401e+02,-1.071491325038601587e+02,-3.311165917528406908e+02
8.362958974358974729e+01,-1.444038095238095210e+01,-2.031631854805218893e+02,-6.465757023618877497e+00,2.837160571693530073e+02,7.762394494422844105e+01,-4.283931949652849767e+02,5.886111512490931119e+00,6.020733328367283548e+02,-5.704455619158399315e+01,1.519607696297543100e+02,-5.825460721439997087e+02,-2.622700648913890831e+01,5.009363430348253132e+01,-7.484866218239999398e+02,3.684676919613325481e+02,5.056056849252851748e+02,-2.808710933194536779e+02,2.389322527245257177e+01,2.196412372681280942e+02,-1.222196022207679249e+02,-3.706064012409582347e+02
8.328013717948716987e+01,-1.514842857142857113e+01,-1.890113368124403905e+02,-6.493545992620230578e+00,2.801561325678017624e+02,7.498515124223928296e+01,-4.494153500412783160e+02,5.793352159985136751e+00,5.657837123578641467e+02,-5.791211587420426810e+01,1.421537786032489521e+02,-6.157437747125001124e+02,-2.568352921286741974e+01,4.999864994152382991e+01,-7.078459792669999615e+02,3.638284888933935122e+02,5.073982583969515758e+02,-2.776756398539300221e+02,2.309496000877062727e+01,2.069981273162369177e+02,-1.161468929986037182e+02,-3.645455041060021699e+02
8.175108846153847253e+01,-1.461704761904761973e+01,-1.810718801893751220e+02,-6.332567910105597164e+00,2.518112247141249611e+02,7.142890405457178815e+01,-3.901367720176468765e+02,5.679473788906640230e+00,5.300460480648376915e+02,-5.244525457327856799e+01,1.298855548785507494e+02,-5.313184798625001122e+02,-2.490502157074316258e+01,4.602125162977749540e+01,-6.963246850833334065e+02,3.244344895379260265e+02,4.303178920066828255e+02,-2.505718939808275536e+02,2.235753502916109170e+01,1.903122302608631742e+02,-1.039060793954102593e+02,-3.263378595658030008e+02
8.089442692307690663e+01,-1.370933333333333159e+01,-1.805310153030686706e+02,-6.254710282128461252e+00,2.541399699709795925e+02,7.154842363352503298e+01,-3.809783582971086844e+02,5.658943123877078207e+00,5.367331527066658055e+02,-5.420007913156916146e+01,1.349451642169615866e+02,-5.323706801490000089e+02,-2.485769192291426322e+01,4.782783501529888071e+01,-6.514321921800000155e+02,3.348733870923643963e+02,4.912347147684935749e+02,-2.469337355299765591e+02,2.199844623587464909e+01,1.900742935713668942e+02,-1.062671379993107621e+02,-3.499366384191550878e+02
8.421182564102564072e+01,-1.478333333333333677e+01,-1.958374641541615233e+02,-6.531139983427800111e+00,2.842479519678834095e+02,7.686736542656315407e+01,-4.346098509794657616e+02,5.906763552483493385e+00,5.767832565537714800e+02,-5.862908466794357309e+01,1.504886504295901943e+02,-5.838448568435999277e+02,-2.662345319482748351e+01,5.139483053017823266e+01,-7.097300561339999376e+02,3.757863755432924222e+02,5.077777777926153817e+02,-2.680599070620086195e+02,2.386266810248985948e+01,2.106168180620652493e+02,-1.205713384112659554e+02,-3.797105603006081083e+02
8.502914358974358322e+01,-1.542885714285714016e+01,-1.940244439156830936e+02,-6.622443893956056371e+00,2.682810567914752937e+02,7.598679477345537236e+01,-4.746809935162264082e+02,5.774250681293287890e+00,5.819889437012017197e+02,-5.532768330116689270e+01,1.433692985454871973e+02,-6.028499660360000689e+02,-2.571824914589228328e+01,4.806227455545447924e+01,-7.997830552806666446e+02,3.634903149525028994e+02,4.392126273490384847e+02,-2.676341447472445907e+02,2.343158217124684839e+01,2.003926237547040898e+02,-1.169988292107216807e+02,-3.495305147440043925e+02
8.478995128205127685e+01,-1.463590476190476153e+01,-1.986333966541996006e+02,-6.486260924710265385e+00,2.818202033834602389e+02,7.746958953970917605e+01,-4.262318305403848058e+02,5.915178312281212492e+00,5.721556597086527063e+02,-5.628432326133187047e+01,1.475515732674404319e+02,-5.781614073329997154e+02,-2.632674820313010855e+01,4.966407725213133517e+01,-7.163008952600001749e+02,3.561410725915170019e+02,4.843826986858942405e+02,-2.681267454759839097e+02,2.389975584009698650e+01,2.103167673858000342e+02,-1.231197285191125843e+02,-3.642011302701076261e+02
8.512839358974358106e+01,-1.494419047619047802e+01,-2.008585111231376743e+02,-6.538283930589343207e+00,2.835246452091386686e+02,7.746359189553578517e+01,-4.590701676502937403e+02,5.862064897008669284e+00,6.043953211936862999e+02,-5.737889796805794873e+01,1.510945052697833830e+02,-6.175285593750000999e+02,-2.612164047378243836e+01,4.994079561354583063e+01,-8.210724303599998848e+02,3.731204646617530898e+02,5.005129742443747887e+02,-2.720796333407756720e+02,2.378266008068375115e+01,2.097194715563240948e+02,-1.187738392471245987e+02,-3.715489561444298943e+02
8.368125897435898253e+01,-1.524647619047619074e+01,-1.903680779106412899e+02,-6.560065117497333453e+00,2.755269706834358772e+02,7.774304366287047685e+01,-4.430594505383213004e+02,5.813240455590253042e+00,6.163641194605521605e+02,-5.954858939973882315e+01,1.497417259453122540e+02,-6.287917244699999628e+02,-2.626594544283763710e+01,5.069020677317660528e+01,-7.987341990506665752e+02,3.627144909791600185e+02,5.054779221784164065e+02,-2.752590272522986652e+02,2.310986785477514260e+01,1.977641090214491157e+02,-1.159284325904929602e+02,-3.564707901278964073e+02
8.263770897435897211e+01,-1.462652380952381037e+01,-1.807665086929010840e+02,-6.371190559503185469e+00,2.559564500772619908e+02,7.274356902522598034e+01,-3.955272399762894224e+02,5.669637737702750258e+00,5.455041544269761289e+02,-5.357200676330413103e+01,1.333148745577751129e+02,-5.516155457879999631e+02,-2.488421130263532177e+01,4.668145327928692012e+01,-7.293552297600000429e+02,3.261291018530804990e+02,4.486562537484520021e+02,-2.519965326574261155e+02,2.241789756257303878e+01,1.895131716395598858e+02,-1.093726758304802047e+02,-3.280664188237926737e+02
